,THE HONGKONG AND SHANGHAI BANKING,"JPMORGAN CHASE BANK, NATIONAL",CITIBANK N.A.,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,BOCI SECURITIES LTD,UBS SECURITIES HONG KONG LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,MORGAN STANLEY HONG KONG SECURITIES LTD,GOLDMAN SACHS (ASIA) SECURITIES LTD,INTERACTIVE BROKERS HONG KONG LTD,BANK OF CHINA (HONG KONG) LTD,DEUTSCHE BANK AG,MERRILL LYNCH FAR EAST LTD,HANG SENG SECURITIES LTD,MACQUARIE BANK LTD,CITIC SECURITIES BROKERAGE (HK) LTD,FUTU SECURITIES INTERNATIONAL,CHINA INTERNATIONAL CAPITAL CORPORATION,GF SECURITIES (HONG KONG) BROKERAGE LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,SUN HUNG KAI INVESTMENT SERVICES LTD,BNP PARIBAS SECURITIES SERVICES,CMB INTERNATIONAL SECURITIES LTD
2020-07-08,5977549203,2191792205,1604125603,907947000.0,835721817.0,740167159,709129235,582359061,450918956,373167585,357244240,318291493,198841687,158488793,148342838,141869330.0,139356890,83348756,79191954,74099000.0,,,,
2020-07-07,5982894636,2192716592,1603611664,876661400.0,799328637.0,743808371,711391194,580666261,446571607,373956959,356105640,321319064,208610684,179601192,141884218,142199330.0,139993690,84055371,82574654,77864000.0,,,,
2020-07-06,6005323855,2200544256,1588452496,847303800.0,760244837.0,745444862,712525794,585471595,450117473,380795326,360477240,328221195,190529581,203532770,145110618,141749330.0,141964090,83906214,82157554,78874600.0,,,,
2020-07-03,6007417539,2213786048,1591568887,819556600.0,741484237.0,747763344,714475258,583518310,457910268,392718349,369678440,332148797,169972974,204049755,147606218,142129330.0,142200490,85732992,84179554,78764000.0,,,,
2020-07-02,5996091862,2206193550,1600824314,812512200.0,740951637.0,747630544,715900428,574882510,459753937,379707422,373452840,330258997,178362341,203668288,147847008,142559330.0,142150690,99431385,82171954,,71180200.0,,,
2020-06-30,6005240381,2210786610,1616405231,,,747616544,715612378,581003145,452156521,396607104,372904840,328677197,160279389,203611730,147467378,137477330.0,146613890,100024332,77791554,67035000.0,64701000.0,56558692.0,,
2020-06-29,5999180153,2218053162,1598676845,,,746536544,715453728,566146193,462057141,385889087,374479840,324879068,143438241,207833874,142522541,138302330.0,146343890,93766932,84062354,66772800.0,,56344192.0,116531471.0,
2020-06-26,5988463552,2244804320,1600919613,,,759876947,709626859,554251990,452097652,400572981,373342040,341506308,139477285,205423077,146396338,139983330.0,141878290,101826374,74911954,58869200.0,,,116116354.0,56581830.0
2020-06-24,5962861139,2238141415,1595337448,812556000.0,739300837.0,759744747,742502643,529134167,471003652,399978711,378184440,341294708,109416235,205365438,147996650,140333330.0,133262490,102591419,74975954,,,,141697911.0,
2020-06-23,5909770314,2267734717,1597827134,803127000.0,730485837.0,760125563,728443447,516178136,478674702,402333611,381172840,341649059,133421168,205774884,147561050,,133041890,97645535,75278954,,64649800.0,,160696950.0,
2020-06-22,5911837195,2258772239,1599774022,803551000.0,712069237.0,761454563,723600985,510395306,471543951,402779268,383639240,344759190,160129842,205648610,150207722,140733330.0,133144290,98472529,78701454,,,,154409422.0,
2020-06-19,5907404199,2273172324,1592847477,801043800.0,714192637.0,761902163,724075585,510098906,474672691,444595403,386330840,345319590,134055059,206533496,151006022,,130122090,97509199,77966454,,66927400.0,,132558441.0,
2020-06-18,5900104625,2273510154,1592810322,812355200.0,740319837.0,759324163,723663855,506283256,476248151,445601342,388209240,338688790,127936781,206748562,150411722,140693330.0,129866490,91878699,77867654,,,,143159831.0,
2020-06-17,5901183088,2265441314,1592614928,810882800.0,738483037.0,760986363,726149055,506579974,478095895,444169476,390039340,316403790,148961771,206894857,150733922,140743330.0,125962690,91102183,77777654,,,,146752357.0,
2020-06-16,5915355996,2206929424,1601632891,808357400.0,737569637.0,760307363,727001017,490220515,473650600,474140181,392966940,314409190,169631301,207138183,149507814,140893330.0,125065290,89804753,76270154,,,,155147524.0,
2020-06-15,5918079831,2212224694,1602393289,811395600.0,737612837.0,756724163,726835817,491575697,477931645,472486381,394249140,314116986,170339566,208500410,151314414,140315930.0,124747490,92522661,76170754,,,,140470722.0,
2020-06-12,5903385272,2250428545,1596488780,809484200.0,739767237.0,759477563,732988587,491628309,476504122,438467631,396011390,314226564,165482354,208655441,158577714,140175930.0,124530690,92285504,76195554,,,,134246867.0,
2020-06-11,5898850314,2227641162,1583189609,803362800.0,740469837.0,760618363,733363847,488182709,470978791,441252778,397044790,317204157,179560774,206709884,159648603,,128048890,92441816,77653354,,72271600.0,,140047693.0,
2020-06-10,5902772811,2228131668,1585337926,796961000.0,729234437.0,768652363,731269967,486887309,463950965,426906030,394754481,321027236,191484283,204146924,160675941,140285930.0,135347490,93710174,77641954,,,,139774029.0,
2020-06-09,5912759434,2229971691,1585596934,786905200.0,720534237.0,774489563,734206032,489028509,457545875,439492127,394413481,323664620,195474411,205965183,161501741,141285930.0,131481290,86178725,77540954,,,,139079827.0,
